array_id,avg_samp_frac,true_corr_uz1,true_corr_z1z2,is_u_latent,true_mean_y,n_sim,pop_size,seed,true_log_or_samp_z2,true_log_or_samp_y,true_baseline_log_odds_samp
1,0.05,0.25,0,FALSE,0,167,1e4,NA,0,0,NA
2,0.05,0.25,0,FALSE,0,167,1e4,NA,0.1,0,NA
3,0.05,0.25,0,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
4,0.05,0.25,0,FALSE,0,167,1e4,NA,0.5,0,NA
5,0.05,0.25,0,FALSE,0,167,1e4,NA,0.075,0.025,NA
6,0.05,0.25,0,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
7,0.05,0.25,0,FALSE,0,167,1e4,NA,0.375,0.125,NA
8,0.05,0.25,0,FALSE,0,167,1e4,NA,0.05,0.05,NA
9,0.05,0.25,0,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
10,0.05,0.25,0,FALSE,0,167,1e4,NA,0.25,0.25,NA
11,0.05,0.25,0,FALSE,0,167,1e4,NA,0.025,0.075,NA
12,0.05,0.25,0,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
13,0.05,0.25,0,FALSE,0,167,1e4,NA,0.125,0.375,NA
14,0.05,0.25,0,FALSE,0,167,1e4,NA,0,0.1,NA
15,0.05,0.25,0,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
16,0.05,0.25,0,FALSE,0,167,1e4,NA,0,0.5,NA
17,0.05,0.25,0,FALSE,0,167,1e4,NA,0.05,-0.05,NA
18,0.05,0.25,0,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
19,0.05,0.25,0,FALSE,0,167,1e4,NA,0.25,-0.25,NA
20,0.25,0.25,0,FALSE,0,167,1e4,NA,0,0,NA
21,0.25,0.25,0,FALSE,0,167,1e4,NA,0.1,0,NA
22,0.25,0.25,0,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
23,0.25,0.25,0,FALSE,0,167,1e4,NA,0.5,0,NA
24,0.25,0.25,0,FALSE,0,167,1e4,NA,0.075,0.025,NA
25,0.25,0.25,0,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
26,0.25,0.25,0,FALSE,0,167,1e4,NA,0.375,0.125,NA
27,0.25,0.25,0,FALSE,0,167,1e4,NA,0.05,0.05,NA
28,0.25,0.25,0,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
29,0.25,0.25,0,FALSE,0,167,1e4,NA,0.25,0.25,NA
30,0.25,0.25,0,FALSE,0,167,1e4,NA,0.025,0.075,NA
31,0.25,0.25,0,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
32,0.25,0.25,0,FALSE,0,167,1e4,NA,0.125,0.375,NA
33,0.25,0.25,0,FALSE,0,167,1e4,NA,0,0.1,NA
34,0.25,0.25,0,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
35,0.25,0.25,0,FALSE,0,167,1e4,NA,0,0.5,NA
36,0.25,0.25,0,FALSE,0,167,1e4,NA,0.05,-0.05,NA
37,0.25,0.25,0,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
38,0.25,0.25,0,FALSE,0,167,1e4,NA,0.25,-0.25,NA
39,0.05,0.75,0,FALSE,0,167,1e4,NA,0,0,NA
40,0.05,0.75,0,FALSE,0,167,1e4,NA,0.1,0,NA
41,0.05,0.75,0,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
42,0.05,0.75,0,FALSE,0,167,1e4,NA,0.5,0,NA
43,0.05,0.75,0,FALSE,0,167,1e4,NA,0.075,0.025,NA
44,0.05,0.75,0,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
45,0.05,0.75,0,FALSE,0,167,1e4,NA,0.375,0.125,NA
46,0.05,0.75,0,FALSE,0,167,1e4,NA,0.05,0.05,NA
47,0.05,0.75,0,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
48,0.05,0.75,0,FALSE,0,167,1e4,NA,0.25,0.25,NA
49,0.05,0.75,0,FALSE,0,167,1e4,NA,0.025,0.075,NA
50,0.05,0.75,0,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
51,0.05,0.75,0,FALSE,0,167,1e4,NA,0.125,0.375,NA
52,0.05,0.75,0,FALSE,0,167,1e4,NA,0,0.1,NA
53,0.05,0.75,0,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
54,0.05,0.75,0,FALSE,0,167,1e4,NA,0,0.5,NA
55,0.05,0.75,0,FALSE,0,167,1e4,NA,0.05,-0.05,NA
56,0.05,0.75,0,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
57,0.05,0.75,0,FALSE,0,167,1e4,NA,0.25,-0.25,NA
58,0.25,0.75,0,FALSE,0,167,1e4,NA,0,0,NA
59,0.25,0.75,0,FALSE,0,167,1e4,NA,0.1,0,NA
60,0.25,0.75,0,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
61,0.25,0.75,0,FALSE,0,167,1e4,NA,0.5,0,NA
62,0.25,0.75,0,FALSE,0,167,1e4,NA,0.075,0.025,NA
63,0.25,0.75,0,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
64,0.25,0.75,0,FALSE,0,167,1e4,NA,0.375,0.125,NA
65,0.25,0.75,0,FALSE,0,167,1e4,NA,0.05,0.05,NA
66,0.25,0.75,0,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
67,0.25,0.75,0,FALSE,0,167,1e4,NA,0.25,0.25,NA
68,0.25,0.75,0,FALSE,0,167,1e4,NA,0.025,0.075,NA
69,0.25,0.75,0,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
70,0.25,0.75,0,FALSE,0,167,1e4,NA,0.125,0.375,NA
71,0.25,0.75,0,FALSE,0,167,1e4,NA,0,0.1,NA
72,0.25,0.75,0,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
73,0.25,0.75,0,FALSE,0,167,1e4,NA,0,0.5,NA
74,0.25,0.75,0,FALSE,0,167,1e4,NA,0.05,-0.05,NA
75,0.25,0.75,0,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
76,0.25,0.75,0,FALSE,0,167,1e4,NA,0.25,-0.25,NA
77,0.05,0.25,1,FALSE,0,167,1e4,NA,0,0,NA
78,0.05,0.25,1,FALSE,0,167,1e4,NA,0.1,0,NA
79,0.05,0.25,1,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
80,0.05,0.25,1,FALSE,0,167,1e4,NA,0.5,0,NA
81,0.05,0.25,1,FALSE,0,167,1e4,NA,0.075,0.025,NA
82,0.05,0.25,1,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
83,0.05,0.25,1,FALSE,0,167,1e4,NA,0.375,0.125,NA
84,0.05,0.25,1,FALSE,0,167,1e4,NA,0.05,0.05,NA
85,0.05,0.25,1,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
86,0.05,0.25,1,FALSE,0,167,1e4,NA,0.25,0.25,NA
87,0.05,0.25,1,FALSE,0,167,1e4,NA,0.025,0.075,NA
88,0.05,0.25,1,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
89,0.05,0.25,1,FALSE,0,167,1e4,NA,0.125,0.375,NA
90,0.05,0.25,1,FALSE,0,167,1e4,NA,0,0.1,NA
91,0.05,0.25,1,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
92,0.05,0.25,1,FALSE,0,167,1e4,NA,0,0.5,NA
93,0.05,0.25,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
94,0.05,0.25,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
95,0.05,0.25,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
96,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0,NA
97,0.25,0.25,1,FALSE,0,167,1e4,NA,0.1,0,NA
98,0.25,0.25,1,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
99,0.25,0.25,1,FALSE,0,167,1e4,NA,0.5,0,NA
100,0.25,0.25,1,FALSE,0,167,1e4,NA,0.075,0.025,NA
101,0.25,0.25,1,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
102,0.25,0.25,1,FALSE,0,167,1e4,NA,0.375,0.125,NA
103,0.25,0.25,1,FALSE,0,167,1e4,NA,0.05,0.05,NA
104,0.25,0.25,1,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
105,0.25,0.25,1,FALSE,0,167,1e4,NA,0.25,0.25,NA
106,0.25,0.25,1,FALSE,0,167,1e4,NA,0.025,0.075,NA
107,0.25,0.25,1,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
108,0.25,0.25,1,FALSE,0,167,1e4,NA,0.125,0.375,NA
109,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0.1,NA
110,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
111,0.25,0.25,1,FALSE,0,167,1e4,NA,0,0.5,NA
112,0.25,0.25,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
113,0.25,0.25,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
114,0.25,0.25,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
115,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0,NA
116,0.05,0.75,1,FALSE,0,167,1e4,NA,0.1,0,NA
117,0.05,0.75,1,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
118,0.05,0.75,1,FALSE,0,167,1e4,NA,0.5,0,NA
119,0.05,0.75,1,FALSE,0,167,1e4,NA,0.075,0.025,NA
120,0.05,0.75,1,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
121,0.05,0.75,1,FALSE,0,167,1e4,NA,0.375,0.125,NA
122,0.05,0.75,1,FALSE,0,167,1e4,NA,0.05,0.05,NA
123,0.05,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
124,0.05,0.75,1,FALSE,0,167,1e4,NA,0.25,0.25,NA
125,0.05,0.75,1,FALSE,0,167,1e4,NA,0.025,0.075,NA
126,0.05,0.75,1,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
127,0.05,0.75,1,FALSE,0,167,1e4,NA,0.125,0.375,NA
128,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0.1,NA
129,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
130,0.05,0.75,1,FALSE,0,167,1e4,NA,0,0.5,NA
131,0.05,0.75,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
132,0.05,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
133,0.05,0.75,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
134,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0,NA
135,0.25,0.75,1,FALSE,0,167,1e4,NA,0.1,0,NA
136,0.25,0.75,1,FALSE,0,167,1e4,NA,0.30000000000000004,0,NA
137,0.25,0.75,1,FALSE,0,167,1e4,NA,0.5,0,NA
138,0.25,0.75,1,FALSE,0,167,1e4,NA,0.075,0.025,NA
139,0.25,0.75,1,FALSE,0,167,1e4,NA,0.22499999999999998,0.07500000000000001,NA
140,0.25,0.75,1,FALSE,0,167,1e4,NA,0.375,0.125,NA
141,0.25,0.75,1,FALSE,0,167,1e4,NA,0.05,0.05,NA
142,0.25,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,0.15000000000000002,NA
143,0.25,0.75,1,FALSE,0,167,1e4,NA,0.25,0.25,NA
144,0.25,0.75,1,FALSE,0,167,1e4,NA,0.025,0.075,NA
145,0.25,0.75,1,FALSE,0,167,1e4,NA,0.07500000000000001,0.22499999999999998,NA
146,0.25,0.75,1,FALSE,0,167,1e4,NA,0.125,0.375,NA
147,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0.1,NA
148,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0.30000000000000004,NA
149,0.25,0.75,1,FALSE,0,167,1e4,NA,0,0.5,NA
150,0.25,0.75,1,FALSE,0,167,1e4,NA,0.05,-0.05,NA
151,0.25,0.75,1,FALSE,0,167,1e4,NA,0.15000000000000002,-0.15000000000000002,NA
152,0.25,0.75,1,FALSE,0,167,1e4,NA,0.25,-0.25,NA
